void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
637,15.61924355696654,1.390413670574106,219.22737979974733,2.360190618131359e-08,-1.49447418139157e-08,1.0686399267735811e-07,-8.326208649604452e-08,-1.218087344912738e-07
646,15.704501175216905,1.340281832753744,302.1548111729409,1.1483009911570885e-07,-4.0880092771412795e-07,-5.080502964626599e-07,6.228803955783688e-07,9.924936874853199e-08
658,15.140056702781532,1.3112426084274225,169.7942672445171,-2.1148921417790992e-08,-3.290496102239256e-09,-1.8745562077565725e-07,1.6630669935786626e-07,1.84165124673418e-07
661,15.725659976172372,1.4660632288353572,274.6765221652153,-3.32257497401877e-07,8.777372174112868e-08,2.1296394792898605e-07,-5.452214453308631e-07,-1.2519022618785737e-07
668,15.430259898115784,1.3936740737855464,187.47384559037198,-9.855331860358948e-08,-3.087749761173963e-07,-2.1436035957603667e-07,1.1580704097244719e-07,-9.441461654135964e-08
669,15.52652368869373,1.3008212544405728,306.8931678912286,-1.8898791000849385e-07,4.15433831073258e-08,2.928207925425381e-07,-4.81808702551032e-07,-2.5127740943521234e-07
670,15.18102977263634,1.3924334037586237,263.07638580160483,-1.0023659057641603e-08,2.0598515159125583e-07,-5.228142832796716e-08,4.225776927032556e-08,2.58266579919223e-07
673,14.789693005874586,1.4224799345331798,210.5669513620009,4.141698263150979e-07,9.919553937086234e-08,2.167563215095513e-07,1.9741350480554662e-07,-1.1756078213868895e-07
674,15.31913904345631,1.3264310671111623,265.79506998794653,-7.999334757723746e-08,3.1220334454756126e-08,-3.9507044480924646e-07,3.15077097232009e-07,4.262907792640026e-07
676,15.031205821554613,1.3046428060231776,306.41016287592976,-4.896368664066619e-07,-5.338185721964411e-07,-3.5850019641926025e-07,-1.311366699874017e-07,-1.7531837577718089e-07
680,14.531183152133082,1.3267557242303787,280.22481306178906,-3.537297600382091e-07,2.0852175186288312e-07,-2.035560281814646e-07,-1.5017373185674448e-07,4.120777800443477e-07
682,15.6727681321488,1.4895298128633327,81.82840536465264,1.3917333573282408e-07,-8.852456338756232e-08,2.832484590219959e-07,-1.440751232891718e-07,-3.7177302240955817e-07
684,14.902578762306376,1.314516827550216,225.0237016138947,-1.0565004927517786e-07,-4.1387864874419914e-07,1.1969407217146682e-07,-2.2534412144664468e-07,-5.335727209156659e-07
686,14.794878288840827,1.3605322252150935,300.36499250877455,-1.4445540779717045e-07,2.764665601748859e-08,3.725421243734412e-07,-5.169975321706116e-07,-3.448954683559526e-07
689,14.82285476724452,1.3142503806721073,88.64086770700463,1.0743802854315085e-07,1.524852238328444e-08,1.0315725400785402e-07,4.280774535296829e-09,-8.790873162456958e-08
691,15.466594746866148,1.3521627288344606,307.05453894830896,1.323577064540827e-07,-7.08366198435277e-08,-1.2404007463515914e-07,2.5639778108924185e-07,5.320345479163144e-08
