event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,Mheld,Rmax_km,rs_km,rplus_km,ratio,ratio_kerr
GW231127_165300,45.0,28.0,71.0,0.05,0.6735710998987868,56.91674799814302,69.77344324421514,-0.0172754472645754,1124128819202037.6,14.083252001856977,173.7524582504277,209.73454929086802,182.37702999493055,0.8284398485509464,0.9527102083812716
GW231226_101520,40.2,35.1,71.6,-0.08,0.6591957177628526,58.762984518029526,71.89622391506423,0.0041372055176568,976993046915805.8,12.837015481970468,168.63494096009984,211.50695393276266,185.27706845033632,0.7973021114648945,0.9101770789583848
GW231221_135041,47.0,29.0,73.0,0.01,0.6588818070339559,59.44738992242581,72.68240656221425,-0.0043505950381609,971916316682812.0,13.552610077574187,171.65145215600015,215.6425647638502,188.92946235707032,0.7959998636817149,0.9085478252808695
GW231223_032836,46.0,31.0,73.0,-0.16,0.6123998829600706,60.25706991066545,73.61199031093815,0.008383428916961,855657819038882.6,12.74293008933455,168.2687345834066,215.6425647638502,193.05919810070543,0.7803131759617004,0.8715913887492303
GW230608_205047,48.0,31.0,75.0,0.04,0.6743630540915978,61.961552626668094,75.56714614764594,0.0075619486352792,882727019064900.9,13.038447373331906,169.56691245716974,221.55058023683245,192.5717576866548,0.7653643347532948,0.8805388416980768
GW230707_124047,46.1,36.3,78.0,-0.05,0.6629243342463322,64.77521645544806,78.78963916277954,0.010123579009994,780754141861024.2,13.22478354455194,170.41657081663595,230.41260344630575,201.45969313445178,0.7396147965332505,0.8459090161668318
GW231119_075248,49.0,33.0,79.0,0.0,0.6654840531596173,64.48315904093393,78.45542469891356,-0.0068933582416004,827601112705186.0,14.516840959066073,175.64738072594403,233.3666111827968,203.77713299817523,0.7526671439229963,0.8619582489047822
GW230928_215827,54.0,29.0,79.0,0.4,0.7815205948710897,65.43523512075576,79.544695648129,0.0068948816218859,965971336239966.0,13.564764879244237,171.84116067464598,233.3666111827968,189.479621328036,0.7363570984027457,0.9069110412520116
GW230630_125806,51.0,33.0,80.0,0.18,0.7214483718880278,66.19317403428926,80.4113789273265,0.0051422365915811,833931837479611.4,13.806825965710743,172.8478625001775,236.32061891928794,199.98256956347242,0.7314125330689462,0.8643146394081979
GW230806_204041,51.0,35.0,82.0,0.08,0.6936635462787795,67.86714026204305,82.32405646747283,0.0039519081399125,753599150128726.1,14.132859737956949,174.20034666155183,242.22863439227012,208.35285852887017,0.7191567053936659,0.8360833054633323
GW230824_033047,53.0,36.0,84.0,-0.01,0.6630629234324111,70.41971494487083,85.23689207252755,0.014724905625328,640676345409171.5,13.580285055129167,172.02092233949958,248.13664986525234,216.941364872647,0.6932507649833811,0.7929374024196931
