event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,M_rd,M_outside_choke,R_out_km,rs_km,dM,frac_out
GW230820_212515,62.0,34.0,92.0,0.21,0.7150379533616875,76.49219307521255,92.14939091100072,0.0016238142500076,606084866630973.8,91.99999999999997,1.8114754248015995e-14,179.71870930169882,271.7687117571811,3.089316242435218e-16,1.9689950269582604e-16
GW231004_232346,64.0,35.0,96.0,-0.04,0.6242223935882427,79.05976267026654,95.0653998613158,-0.0097354181112937,504358546509524.8,95.99999999999996,3.622950849603199e-14,184.99962295644818,283.5847427031455,4.440892098500626e-16,3.7739071350033324e-16
GW231102_071736,61.0,42.0,98.0,0.06,0.6874077916595925,82.36642642548149,98.81529813399996,0.0083193687142853,481056325740857.75,97.99999999999996,3.622950849603199e-14,180.31450221559763,289.49275817612767,4.3502616475108174e-16,3.6968886220440806e-16
GW230708_230935,64.0,40.0,99.0,0.01,0.660448361437541,83.26828191870422,99.83700476551226,0.0084545935910329,449741966046501.2,98.99999999999999,1.8114754248015995e-14,180.69915121531622,292.44676591261884,1.4354398702224247e-16,1.829773156365252e-16
GW231029_111508,65.0,42.0,101.0,0.14,0.7079495994186341,85.82612565087081,102.73244115497296,0.0171528827225045,441641290811946.2,100.99999999999996,3.622950849603199e-14,178.6564278191576,298.354781385601,4.221045955010496e-16,3.587080049112078e-16
GW230601_224134,64.0,44.0,102.0,-0.03,0.6577142353851219,86.6565816148931,103.6717793148917,0.0163899932832519,399206315443240.5,101.99999999999999,1.8114754248015995e-14,179.31661544518548,301.3087891220921,1.3932210505100003e-16,1.7759562988250976e-16
GW230819_171910,70.0,35.0,102.0,-0.04,0.6091750982336298,84.26448289423826,100.96509301301528,-0.0101461469312227,431032608685197.2,101.99999999999997,3.622950849603199e-14,187.8795888901672,301.3087891220921,2.7864421010200007e-16,3.551912597650195e-16
GW230814_061920,69.0,42.0,106.0,0.07,0.6778672276452216,89.29597802372797,106.65494577170156,0.0061787336952976,399265736409556.06,105.99999999999997,3.622950849603199e-14,184.36555236055605,313.1248200680565,2.681293342490944e-16,3.417878160003018e-16
GW231001_140220,76.0,41.0,111.0,-0.04,0.6220426921128858,94.54391400940844,112.57651400533692,0.0142028288769091,315287331730386.44,110.99999999999997,3.622950849603199e-14,183.5831421340915,327.89485875051196,2.56051436309946e-16,3.2639196843272064e-16
GW230922_040658,76.0,51.0,119.0,0.31,0.7672226386772768,103.05550717900962,122.15477714152172,0.0265107322816951,318119831567380.9,118.99999999999996,3.622950849603199e-14,181.899110032318,351.5269206424408,3.582568415597144e-16,3.044496512271596e-16
GW231005_021030,84.0,50.0,127.0,0.1,0.6856217170521971,109.19620242671976,129.0468336226498,0.0161168001783447,249902322963686.38,126.99999999999996,3.622950849603199e-14,188.5976648827304,375.15898253436956,3.3568948146146465e-16,2.8527172044119677e-16
GW230704_212616,89.0,50.0,132.0,0.27,0.739034469605304,113.58387777715473,133.96276308306014,0.0148694172959101,253392397520533.0,131.99999999999997,3.622950849603199e-14,190.74743782380958,389.92902121682505,2.153159805333637e-16,2.7446597345478777e-16
GW231028_153006,94.0,59.0,144.0,0.45,0.8094607684425743,125.7106567482077,147.51538579013834,0.0244124013204051,227279710328801.0,143.99999999999994,3.622950849603199e-14,190.55367437173996,425.3771140547182,3.9474596431116675e-16,2.5159380900022216e-16
GW231123_135430,137.0,101.0,222.0,0.32,0.7758613884038505,200.59309641619456,230.3677432544632,0.0376925371822665,66645622457868.64,221.99999999999997,3.622950849603199e-14,201.72598630205877,655.7897175010239,1.28025718154973e-16,1.6319598421636032e-16
