Name,Type,Rad,g_obs,g_bar,locked,Vobs
UGC 07831,SBc pec,2.243704918032787,1.1607657739812573e-10,9.598525029592843e-12,0.0,89.64590163934426
UGC 07831,SBc pec,2.4710937499999996,1.2051175710504975e-10,8.49463892054434e-12,0.0,95.859375
UGC 07861,SABm pec,0.1835,3.124040591334135e-11,2.1898097846438148e-10,0.902435916137655,13.3
UGC 07861,SABm pec,0.4941025641025641,4.455720075256584e-11,1.7493212202837587e-10,0.8205632931432731,26.064102564102566
UGC 07861,SABm pec,0.77,2.4920797739464675e-11,1.1753859935526667e-10,0.720038261621636,24.333333333333332
UGC 07861,SABm pec,1.01,2.6368320819285504e-11,8.380395433698112e-11,0.6190269666719506,28.666666666666668
UGC 07861,SABm pec,1.31,4.057777274435969e-11,6.03576107039898e-11,0.5133398411368141,40.5
UGC 07861,SABm pec,1.605,2.992925297058511e-11,4.696530289563777e-11,0.43951842824936693,38.5
UGC 07861,SABm pec,2.0145454545454546,3.909184201347553e-11,3.515553280380241e-11,0.3726975395248547,49.29545454545455
UGC 07876,SABd,0.18,6.48155857888873e-12,1.0879525704150686e-10,0.9227166035471676,6.0
UGC 07876,SABd,0.45099999999999996,5.755006042401547e-11,6.78901449890798e-11,0.7956794614097975,28.3
UGC 07876,SABd,0.6968000000000001,7.045096982586393e-11,5.213800716417183e-11,0.6853176599709812,38.92
UGC 07876,SABd,1.06,8.267044527035437e-11,3.999640459379176e-11,0.5482888662750106,52.0
UGC 07876,SABd,1.43,9.575029718812896e-11,3.294827297850634e-11,0.44320761878585757,65.0
UGC 07876,SABd,1.65,7.7955472726089e-11,2.9934511288881914e-11,0.394746962935777,63.0
UGC 07876,SABd,1.915,8.77295030625566e-11,2.69718297124526e-11,0.34738698270557455,72.0
UGC 07876,SABd,2.205,8.941905304752614e-11,2.428613333257745e-11,0.3064742873043468,78.0
UGC 07876,SABd,2.535,9.236540578396661e-11,2.1710796345791187e-11,0.2704530738796379,85.0
UGC 07876,SABd,2.8866666666666667,8.562742630662778e-11,1.9367677712376965e-11,0.24120488201165452,87.33333333333333
UGC 07876,SABd,3.18,8.81430819949821e-11,1.7654998340772306e-11,0.22217723753341348,93.0
UGC 07876,SABd,3.4706818181818178,7.705442742806745e-11,1.61343474372506e-11,0.206991293501696,90.8409090909091
UGC 07876,SABd,3.67,8.308581017542788e-11,1.517964699858577e-11,0.19827520743760593,97.0
UGC 07901,SAc,0.4266666666666667,8.9142529283219e-10,1.3349236308487242e-10,0.47792985292763357,108.33333333333333
UGC 07901,SAc,1.1225925925925926,8.721694346660527e-10,1.7275900369003526e-10,0.3689318053873528,173.8148148148148
UGC 07901,SAc,1.7524770642201837,6.682908847778683e-10,1.8437450194748513e-10,0.3424491815888043,190.10091743119267
UGC 07901,SAc,2.338888888888889,5.530115729761362e-10,1.8420861679346101e-10,0.33056509595832784,199.77777777777777
UGC 07901,SAc,2.995,4.675813198418908e-10,1.7434308860082327e-10,0.31189177778054145,207.875
UGC 07901,SAc,3.64,4.205336505067025e-10,1.5722840233412173e-10,0.2778053476121731,217.33333333333334
UGC 07901,SAc,4.26,3.5383916994653525e-10,1.3908236267212207e-10,0.23819528776001428,215.66666666666666
UGC 07901,SAc,4.99,2.8914375700471453e-10,1.2056096091743817e-10,0.20080587888813475,211.0
UGC 07901,SAc,5.66,2.622168345218978e-10,1.0636979891878028e-10,0.17690360655111295,214.0
UGC 07901,SAc,6.342,2.397397906034129e-10,9.396653454914922e-11,0.1595005562904825,216.6
UGC 07901,SAc,7.06,2.121884173577419e-10,8.267292722718952e-11,0.14629017882442924,215.0
UGC 07901,SAc,7.7,1.7230330280180185e-10,7.388132348117855e-11,0.13761690014689323,202.33333333333334
UGC 07901,SAc,8.27,1.6468409871692798e-10,6.692621337627002e-11,0.13169843530284364,205.0
UGC 07901,SAc,9.11,1.504731097596397e-10,5.798165581717376e-11,0.12527387763093684,205.66666666666666
UGC 07901,SAc,9.775,1.4551264778366805e-10,5.186174629459658e-11,0.12164862923721677,209.5
