gal,lamR,FS,logsig,logML_JAM,q,logL,fDM,logML_star,A,logMs,slow,logML_Salp,C,logMs_pop,BV
NGC3412,0.406,F,1.967,0.404,1.0,9.758,0.47,0.211,0.193,9.969,0.0,0.648,-0.244,10.405999999999999,0.8899999856948853
NGC3414,0.073,S,2.277,0.779,1.0,10.326,0.14,0.714,0.065,11.04,1.0,0.826,-0.04699999999999993,11.152000000000001,0.9599999785423279
NGC3489,0.589,F,2.005,0.26,2.0,9.927,0.24,0.113,0.147,10.04,0.0,0.394,-0.134,10.321,0.8199999928474426
NGC3605,0.434,F,1.923,0.46,1.0,9.542,0.0,0.459,0.001,10.001,0.0,0.668,-0.20800000000000002,10.209999999999999,0.8500000238418579
NGC3607,0.209,F,2.315,0.681,2.0,10.661,0.07,0.661,0.02,11.322,0.0,0.799,-0.118,11.459999999999999,0.9200000166893005
NGC3610,0.53,F,2.26,0.496,3.0,10.248,0.12,0.409,0.087,10.657,0.0,0.566,-0.06999999999999995,10.814,0.8399999737739563
NGC3613,0.222,F,2.294,0.772,2.0,10.456,0.0,0.772,0.0,11.228,0.0,0.761,0.01100000000000001,11.216999999999999,0.9100000262260437
NGC3626,0.66,F,2.118,0.437,1.0,10.102,0.23,0.332,0.1049999999999999,10.434,0.0,0.261,0.176,10.363,0.8100000023841858
NGC3640,0.377,F,2.246,0.603,2.0,10.62,0.17,0.534,0.0689999999999999,11.154,0.0,0.722,-0.119,11.341999999999999,0.8799999952316284
NGC3658,0.546,F,2.101,0.573,3.0,10.109,0.0,0.572,0.001,10.681,0.0,0.721,-0.14800000000000002,10.83,0.9200000166893005
NGC3665,0.41,F,2.335,0.796,2.0,10.76,0.14,0.748,0.048,11.508,0.0,0.764,0.03200000000000003,11.524,0.9300000071525574
NGC3838,0.676,F,2.125,0.589,2.0,9.772,0.0,0.589,0.0,10.361,0.0,0.694,-0.10499999999999998,10.466000000000001,0.8600000143051147
NGC3941,0.468,F,2.081,0.4,1.0,9.94,0.0,0.4,0.0,10.34,0.0,0.693,-0.2929999999999999,10.633,0.8999999761581421
NGC3945,0.524,F,2.249,0.628,1.0,10.394,0.22,0.549,0.0789999999999999,10.943,0.0,0.76,-0.132,11.154,0.9200000166893005
NGC3998,0.454,F,2.35,0.971,2.0,9.967,0.15,0.92,0.0509999999999999,10.887,0.0,0.818,0.15300000000000002,10.785,0.9399999976158142
NGC4026,0.548,F,2.195,0.675,2.0,9.906,0.08,0.633,0.042,10.539,0.0,0.747,-0.07199999999999995,10.653,0.8999999761581421
NGC4036,0.685,F,2.26,0.698,2.0,10.463,0.0,0.697,0.001,11.159999999999998,0.0,0.783,-0.08500000000000008,11.245999999999999,0.8899999856948853
NGC4111,0.619,F,2.213,0.652,2.0,9.973,0.0,0.651,0.001,10.624,0.0,0.616,0.03600000000000003,10.589,0.8799999952316284
NGC4150,0.513,F,1.915,0.416,3.0,9.521,0.2,0.336,0.0799999999999999,9.857,0.0,0.358,0.057999999999999996,9.879000000000001,0.7900000214576721
NGC4179,0.587,F,2.224,0.772,3.0,9.981,0.08,0.724,0.048,10.705,0.0,0.771,0.0010000000000000009,10.752,0.8999999761581421
NGC4215,0.553,F,2.124,0.609,2.0,10.126,0.04,0.589,0.02,10.715,0.0,0.652,-0.04300000000000004,10.777999999999999,0.9200000166893005
NGC4233,0.564,F,2.288,0.834,2.0,10.238,0.22,0.724,0.1099999999999999,10.962,0.0,0.812,0.02199999999999991,11.049999999999999,0.9700000286102295
NGC4251,0.584,F,2.11,0.405,1.0,10.211,0.08,0.36,0.045,10.571,0.0,0.684,-0.279,10.895,0.8299999833106995
