ID,Len,Ng_5,Ng1,L0_5,L1_0,xlen,ylen,zlen,feed_proxy,density_proxy,ambient_resistance_proxy,smoothing_proxy,choke_F1,choke_F2,concentration_Ng,concentration_L,thickness_proxy
36,17.606,13,14,16.839,17.58,1.965,2.42,16.762,0.7383846415994547,0.956435306145632,0.056855617403158004,17.606,0.0419393753038427,12.421237742151066,0.9285714285714286,0.9578498293515358,0.1116096785186868
37,25.187,21,26,18.789,23.907,7.553,15.488,17.301,0.8337634493984992,0.7459800690832573,0.1985548100210426,25.187,0.033102928073946845,3.1324897921912425,0.8076923076923077,0.7859204417116327,0.2998769206336602
38,15.612,12,15,17.269,21.634,4.26,10.486,10.389,0.7686395080707148,1.1061363054060978,0.19222393031001792,15.612,0.04923389111393254,4.423070864669501,0.8,0.7982342608856429,0.27286702536510377
39,27.898,16,23,11.472,16.139,5.678,6.616,24.471,0.5735178148971253,0.41121227328123877,0.2509498888809234,27.898,0.020557667750273328,0.9397795132837908,0.6956521739130435,0.7108247103290166,0.2035271345616173
40,17.624,16,19,26.903,31.664,8.776,4.963,13.999,0.9078529278256923,1.5264979573309123,0.1702791647753064,17.624,0.0515123086601051,8.138609569241785,0.8421052631578947,0.8496399696816573,0.2816046300499319
41,21.707,12,13,19.644,20.523,19.255,2.614,7.956,0.5528170636200304,0.9049615331459897,0.04611415672363753,21.707,0.02546722548578939,10.848689708043832,0.9230769230769231,0.9571700043853237,0.12042198369189662
42,27.362,17,20,14.237,16.526,6.081,21.969,6.288,0.6212996126014181,0.52032015203567,0.10967765514216797,27.362,0.022706659330510127,2.9474983620814363,0.85,0.861490983904151,0.2222425261311308
43,18.683,18,20,2.967,3.052,15.624,8.539,3.416,0.9634427019215329,0.15880747203339934,0.10710271369694374,18.683,0.051567879993659096,1.4285529718146868,0.9,0.9721494102228048,0.18284001498688648
44,21.705,20,30,14.669,24.853,1.96,4.246,19.8,0.9214466712739001,0.675835061045842,0.46076940797051374,21.705,0.042453198400087544,1.3515349685948246,0.6666666666666666,0.5902305556673239,0.09030177378484221
45,20.068,14,23,3.924,7.319,5.478,7.958,16.729,0.6976280645804265,0.19553518038668524,0.44852501494917274,20.068,0.034763208320730835,0.3041320437077651,0.6086956521739131,0.5361388167782484,0.2729718955551126
46,16.78,6,8,3.703,3.991,12.905,2.521,9.822,0.3575685339690107,0.2206793802145411,0.11924910607866507,16.78,0.021309209414124595,0.6617072870001232,0.75,0.9278376346780255,0.150238379022646
47,30.482,26,28,22.811,25.211,10.89,12.069,21.587,0.8529624040417295,0.7483432845613806,0.06564529886490388,30.482,0.027982494719563333,9.723600898848524,0.9285714285714286,0.9048034588076633,0.3572600223082475
48,39.033,32,34,31.286,33.066,13.691,8.121,27.6,0.8198191274050163,0.8015269131247919,0.05126431481054492,39.033,0.021003231301847572,12.818021599197072,0.9411764705882353,0.9461682695215629,0.20805472292675428
49,18.685,10,12,11.184,15.515,16.518,5.568,3.852,0.5351886540005353,0.5985549906341986,0.1070912496655071,18.685,0.028642689537090465,2.9912793135142364,0.8333333333333334,0.7208507895584917,0.20615466952100617
50,24.658,25,37,20.305,29.757,5.137,19.22,10.078,1.0138697380160597,0.8234650012166437,0.48669802903722925,24.658,0.04111727382659014,1.715409135106749,0.6756756756756757,0.6823604530026548,0.2083299537675399
51,24.127,15,20,10.921,16.47,6.592,14.782,15.776,0.6217101172959755,0.4526464127326232,0.20727815310647824,24.127,0.025768231329878374,1.357667704656938,0.75,0.6630843958712811,0.27322087288100466
52,36.201,32,38,44.648,54.327,21.509,11.484,20.212,0.8839534819480125,1.2333360956879644,0.16576890141156322,36.201,0.024417929945250477,6.5766963942700984,0.8421052631578947,0.8218381283707917,0.31722880583409296
53,13.752,8,11,7.804,9.561,4.813,4.306,10.636,0.5817335660267597,0.5674810936591042,0.21822280395578822,13.752,0.0423017427302763,1.5127786568719872,0.7272727272727273,0.816232611651501,0.31311809191390344
54,23.667,21,26,13.805,17.554,20.213,8.752,3.072,0.8873114463176575,0.583301643638822,0.21130688300164788,23.667,0.03749150489363491,2.4493770278774765,0.8076923076923077,0.7864304432038283,0.12980098871846873
55,13.112,8,11,4.7,8.102,7.291,3.444,9.823,0.6101281269066504,0.3584502745576571,0.22887431360585722,13.112,0.04653204140532721,0.9555488825262436,0.7272727272727273,0.5801036781041718,0.262660158633313
56,36.037,18,18,19.863,19.863,7.551,20.987,24.22,0.49948663873241395,0.5511835058412188,2.774925770735633e-05,36.037,0.013860383459566944,9921.303105141938,1.0,1.0,0.20953464494824764
57,16.671,13,18,9.446,13.669,8.299,12.614,3.886,0.7797972527142943,0.5666126807030172,0.29998200467878355,16.671,0.04677567348775085,1.4728983901498145,0.7222222222222222,0.6910527470919599,0.23309939415751907
58,32.551,26,32,13.422,16.285,22.128,8.267,9.122,0.7987465822862584,0.4123375625940831,0.18435685539614757,32.551,0.02453831164284533,1.786498354848552,0.8125,0.8241940435984034,0.2539706921446345
59,23.647,19,31,3.553,8.086,7.761,18.887,8.491,0.8034845857825518,0.15025161754133717,0.5075062375777054,23.647,0.03397828839948204,0.2378785712261817,0.6129032258064516,0.43940143457828346,0.3282023089609676
60,11.353,3,3,1.748,1.748,2.983,0.816,10.65,0.26424733550603363,0.15396811415484893,8.808244516867788e-05,11.353,0.023275551440679436,461.90434246454674,1.0,1.0,0.07187527525764115
61,40.396,27,33,24.221,30.703,27.227,25.257,8.546,0.6683830082186355,0.5995890682245767,0.14855431230814933,40.396,0.016545772062051576,2.6977011901455707,0.8181818181818182,0.7888805654170602,0.21155559956431327
62,28.594,21,26,17.488,18.891,15.257,12.756,19.662,0.7344198083514024,0.6115968384975868,0.17489683150311255,28.594,0.02568440261423384,2.56819308307325,0.8076923076923077,0.9257318299719444,0.44610757501573756
63,24.776,13,20,15.859,24.466,9.95,8.238,19.642,0.5247013238618018,0.6400952534711011,0.28257184371972877,24.776,0.021177806097102108,1.1885785309419103,0.65,0.6482056731791057,0.33249919276719403
64,16.239,11,17,17.566,28.359,1.334,15.162,3.721,0.6773816121682369,1.0817168544861135,0.36954245951105363,16.239,0.04171325895487634,1.982817097041701,0.6470588235294118,0.6194153531506752,0.08214791551203891
65,18.706,11,13,5.996,7.193,6.281,7.932,15.31,0.5880466160590185,0.3205388645354432,0.10697102533946327,18.706,0.031436256605314794,1.7620827135881436,0.8461538461538461,0.8335882107604616,0.3357746177696996
66,16.659,13,18,9.824,15.849,9.246,7.726,10.893,0.7803589651239571,0.5897112671829041,0.30019809112191614,16.659,0.04684308572687179,1.5329427061343235,0.7222222222222222,0.6198498327970219,0.46377333573443785
67,26.189,32,46,37.113,48.207,13.152,5.385,20.573,1.2218870518156477,1.4171216923135668,0.5346137691397151,26.189,0.04665649898108548,3.238903946434836,0.6956521739130435,0.7698674466363806,0.20562068043835197
