recno,Name,Meth,Nbin,rmax,K0,e_K0,sigK0,K100,e_K100,alpha,e_alpha,DOF,chi2,p-val,z,<kT>,K_core,K_500kpc,entropy_ratio_outer_to_core
107,Abell 401,flat,,,166.9,7.7,21.7,81.8,10.4,1.4,0.11,57,8.36,1.0,0.0745,8.07,166.9,945.4944609347941,5.665035715606915
111,Abell 426,flat,,,19.4,0.2,124.4,119.9,0.5,1.74,0.01,53,1045.73,2.32e-184,0.0179,3.55,19.4,1991.9453225521418,102.6775939459867
115,Abell 478,flat,,,7.8,0.9,8.5,122.0,2.6,0.97,0.02,46,22.58,0.999,0.0883,7.07,7.8,589.0470140640908,75.51884795693472
119,Abell 496,flat,,,8.9,0.7,13.4,216.3,10.5,1.27,0.05,23,6.95,1.0,0.0328,5.03,8.9,1679.0228770073631,188.65425584352394
123,Abell 520,flat,,,325.5,29.2,11.1,10.2,11.8,2.09,0.71,30,2.86,1.0,0.202,9.29,325.5,620.2457019455768,1.9055167494487766
127,Abell 521,flat,,,259.9,36.2,7.2,245.4,61.8,1.91,0.69,5,0.32,0.997,0.2533,7.03,259.9,5567.610985006533,21.422127683749647
131,Abell 539,flat,,,22.6,4.5,5.0,493.3,165.6,1.05,0.2,8,2.12,0.977,0.0288,3.24,22.6,2695.7887208803195,119.2826867646159
135,Abell 562,flat,,,202.1,39.3,5.1,34.6,45.3,1.09,1.19,24,1.66,1.0,0.11,3.04,202.1,402.064731123862,1.9894345923991192
139,Abell 576,flat,,,95.3,15.4,6.2,221.2,31.5,1.41,0.41,18,4.71,0.999,0.0385,4.43,95.3,2234.901180039292,23.451219097998866
143,Abell 586,flat,,,94.7,19.2,4.9,92.1,25.5,1.25,0.32,14,3.47,0.998,0.171,6.47,94.7,783.308113752372,8.271468994217233
147,Abell 611,flat,,,124.9,18.6,6.7,164.4,31.5,1.25,0.2,16,1.98,1.0,0.288,7.06,124.9,1354.0766981638435,10.84128661460243
151,Abell 644,flat,,,132.4,9.1,14.5,85.9,11.7,1.55,0.13,50,15.09,1.0,0.0698,7.73,132.4,1173.2704292230198,8.861559133104379
155,Abell 665,flat,,,134.6,23.5,5.7,106.3,25.1,1.06,0.13,43,3.79,1.0,0.181,7.45,134.6,719.9848373237827,5.3490701138468255
159,Abell 697,flat,,,166.7,24.4,6.8,108.2,29.1,1.1,0.18,27,4.28,1.0,0.282,9.52,166.7,802.1688482106183,4.812050679127885
163,Abell 744,flat,,,63.4,10.2,6.2,229.3,15.2,0.79,0.13,15,1.27,1.0,0.0729,2.5,63.4,881.0931473092917,13.897368254089775
167,Abell 754,flat,,,270.4,23.8,11.4,69.7,26.5,1.48,0.34,55,13.35,1.0,0.0543,9.94,270.4,1024.9853764756883,3.790626392291747
171,Abell 773,flat,,,244.3,31.7,7.7,41.1,22.5,1.6,0.33,32,3.28,1.0,0.217,7.83,244.3,784.0514638049742,3.2093797126687442
175,Abell 907,flat,,,23.4,3.2,7.3,187.0,8.1,1.05,0.05,28,7.62,1.0,0.1527,5.59,23.4,1036.7514915966344,44.30561929900147
179,Abell 963,flat,,,55.8,12.9,4.3,169.1,20.3,0.9,0.1,21,3.37,1.0,0.2056,6.73,55.8,775.6079044913233,13.89978323461153
183,Abell 1060,flat,,,72.0,5.2,13.8,178.3,100.9,1.25,0.49,22,2.61,1.0,0.0125,3.29,72.0,1405.1034384587183,19.515325534148865
187,Abell 1063S,flat,,,169.6,19.7,8.6,42.2,17.7,1.72,0.27,21,2.98,1.0,0.354,11.96,169.6,841.8655528716505,4.963829910799826
191,Abell 1068,flat,,,9.1,1.0,8.8,108.8,3.2,1.31,0.06,14,3.44,0.998,0.1375,4.62,9.1,905.0413916319858,99.45509798153691
195,Abell 1201,flat,,,64.8,16.9,3.8,198.9,25.2,1.03,0.21,11,2.19,0.998,0.1688,5.61,64.8,1108.495684143521,17.10641487875804
199,Abell 1204,flat,,,15.3,1.4,10.8,81.8,3.6,1.4,0.11,8,1.91,0.984,0.1706,3.63,15.3,793.8944609347941,51.888526858483274
203,Abell 1240,flat,,,462.4,41.7,11.1,8.3,18.2,2.37,1.48,34,0.03,1.0,0.159,4.77,462.4,838.7890693371553,1.8139902018537097
207,Abell 1361,flat,,,18.6,4.9,3.8,117.9,10.5,1.06,0.18,11,4.08,0.968,0.1171,5.32,18.6,667.8650265331513,35.90672185662103
211,Abell 1413,flat,,,64.0,8.3,7.7,123.2,13.0,1.19,0.28,7,6.18,0.519,0.1426,7.41,64.0,900.3441297953516,14.067877028052369
215,Abell 1423,flat,,,68.3,12.9,5.3,124.2,21.1,1.2,0.17,20,1.67,1.0,0.213,6.01,68.3,925.1121197674144,13.544833378732275
219,Abell 1446,flat,,,152.4,43.8,3.5,119.5,49.5,0.67,0.27,31,6.87,1.0,0.1035,3.96,152.4,503.6997236782895,3.305116297101637
223,Abell 1569,flat,,,110.1,27.8,4.0,149.1,28.9,0.51,0.19,26,7.39,1.0,0.0735,2.51,110.1,448.9069774322693,4.077265916732691
227,Abell 1576,flat,,,186.2,49.1,3.8,98.3,47.6,1.38,0.29,30,41.62,0.0771,0.279,10.1,186.2,1092.2081905209172,5.8657797557514355
231,Abell 1644,flat,,,19.0,1.2,16.4,585.7,81.8,1.76,0.11,8,1.25,0.996,0.0471,4.6,19.0,9969.901598675575,524.7316630881882
235,Abell 1650,flat,,,38.0,10.0,3.8,159.9,12.1,0.84,0.17,12,2.0,0.999,0.0843,6.17,38.0,655.9925894994311,17.262962881563976
239,Abell 1651,flat,,,89.5,11.1,8.1,115.5,15.2,0.97,0.19,24,13.26,0.962,0.084,6.26,89.5,639.7789354459221,7.1483679938091855
243,Abell 1664,flat,,,14.4,1.0,14.8,141.8,6.1,1.7,0.09,10,16.24,0.0931,0.1276,4.39,14.4,2201.785043342434,152.90173912100238
247,Abell 1689,flat,,,78.4,7.6,10.4,111.8,13.8,1.35,0.14,17,7.34,0.979,0.1843,10.1,78.4,1060.2639377648295,13.52377471638813
251,Abell 1736,flat,,,150.4,38.3,3.9,127.3,37.9,0.99,0.83,12,0.1,1.0,0.0338,3.45,150.4,776.7379232008407,5.164480872346015
255,Abell 1758,flat,,,230.8,37.2,6.2,144.0,50.2,1.21,0.32,17,1.98,1.0,0.2792,12.14,230.8,1240.3229521200365,5.374016257019222
259,Abell 1763,flat,,,214.7,32.8,6.5,70.8,29.1,1.37,0.25,36,2.87,1.0,0.1866,7.78,214.7,856.8288219053154,3.990818918981441
263,Abell 1795,flat,,,19.0,1.1,18.1,130.4,2.8,1.18,0.03,50,35.74,0.936,0.0625,7.8,19.0,890.0883319897705,46.846754315251076
267,Abell 1835,flat,,,11.4,2.5,4.6,111.7,7.9,1.26,0.09,13,8.76,0.791,0.2532,9.77,11.4,860.102298933234,75.44757008186264
271,Abell 1914,flat,,,107.2,18.0,5.9,131.1,28.3,1.05,0.18,26,4.42,1.0,0.1712,9.62,107.2,817.6298425043784,7.6271440532124855
275,Abell 1942,flat,,,107.7,77.7,1.4,194.1,88.7,0.66,0.41,9,1.21,0.999,0.224,4.77,107.7,669.1947995250523,6.213507887883494
279,Abell 1991,flat,,,1.5,0.3,4.8,152.2,4.2,1.09,0.03,16,43.79,0.000212,0.0587,2.67,1.5,881.1136438454275,587.4090958969517
283,Abell 1995,flat,,,374.3,60.1,6.2,26.8,32.9,2.08,0.81,23,0.99,1.0,0.3186,3.4,374.3,1136.3656793765392,3.0359756328520953
287,Abell 2029,flat,,,10.5,0.7,15.8,163.6,2.1,0.95,0.02,55,58.95,0.333,0.0765,7.38,10.5,765.2529226951011,72.88123073286677
291,Abell 2034,flat,,,232.6,23.0,10.1,85.1,22.6,1.14,0.17,64,10.87,1.0,0.113,7.15,232.6,765.6345563567546,3.2916360978364345
295,Abell 2052,flat,,,9.5,0.7,14.3,164.7,2.6,1.25,0.03,26,387.05,5.510000000000001e-66,0.0353,2.98,9.5,1240.9197213356751,130.62312856165002
