Name,RAJ2000,DEJ2000,DM,DMeNE2001,DMeYMW16,DM_excess_extragalactic,ang_sep_to_nearest_PSZ2_deg,nearest_PSZ2_name
FRB20190405B,236.48,89.16,1111.2,1059.3,1062.6,48.600000000000136,2.4072357498315737,PSZ2 G120.36+26.03
FRB20190117A,331.71,17.37,393.1,345.2,353.3,39.80000000000001,2.3865789094069334,PSZ2 G076.81-32.57
FRB20190630A,331.71,17.37,401.1,344.3,352.4,48.700000000000045,2.3865789094069334,PSZ2 G076.81-32.57
FRB20190124E,297.75,20.57,614.6,225.8,313.3,301.3,4.310910596765521,PSZ2 G057.92-07.40
FRB20190222D,313.9,26.57,894.5,779.7,806.6,87.89999999999998,1.5939183346198282,PSZ2 G072.96-12.26
FRB20190618A,321.25,25.44,228.1,151.7,164.8,63.29999999999998,2.3307163841872325,PSZ2 G072.79-18.73
FRB20180907A,320.87,29.46,875.1,785.2,801.8,73.30000000000007,5.2447219968102345,PSZ2 G072.96-12.26
FRB20181124B,318.56,29.88,800.7,696.7,717.8,82.90000000000009,3.679889129527276,PSZ2 G072.96-12.26
FRB20180928A,312.95,30.85,250.7,94.7,135.9,114.79999999999998,3.887617091100807,PSZ2 G072.96-12.26
FRB20190101B,307.77,29.89,1321.5,1089.9,1161.6,159.9000000000001,4.845242315095915,PSZ2 G066.76-08.42
FRB20190405A,337.02,20.96,423.8,377.6,385.2,38.60000000000002,0.3531249962151829,PSZ2 G083.29-31.03
FRB20190614B,332.86,24.69,580.7,527.0,535.0,45.700000000000045,1.9866731780016416,PSZ2 G080.55-24.82
FRB20190409D,336.64,26.95,1298.9,1245.4,1253.5,45.40000000000009,0.9829924795612817,PSZ2 G086.43-24.95
FRB20190122A,349.56,37.5,1229.3,1166.6,1175.4,53.899999999999864,3.0802743829490566,PSZ2 G100.96-24.07
FRB20181224A,355.11,44.56,308.9,225.2,231.9,76.99999999999997,2.6859551410258815,PSZ2 G109.52-19.16
FRB20181129A,355.12,44.95,386.6,299.2,305.5,81.10000000000002,3.069690782863346,PSZ2 G109.52-19.16
FRB20190517D,339.95,41.84,1184.0,1086.8,1097.3,86.70000000000005,0.7067974128280469,PSZ2 G097.52-14.89
FRB20181226C,349.05,44.94,409.2,315.0,322.4,86.80000000000001,1.3130513102837869,PSZ2 G104.58-15.41
FRB20181130A,355.19,46.49,218.4,125.0,129.9,88.5,3.815813216481563,PSZ2 G108.17-11.56
FRB20190219C,349.67,49.21,805.5,682.6,684.6,120.89999999999998,0.778773924415968,PSZ2 G108.17-11.56
FRB20190531C,331.14,43.0,477.2,345.8,359.4,117.80000000000001,1.5974955198792042,PSZ2 G094.31-11.31
FRB20190630B,328.21,43.01,653.5,501.6,517.2,136.29999999999995,3.7154458532394967,PSZ2 G094.31-11.31
FRB20190215B,335.04,45.34,273.4,138.4,148.5,124.89999999999998,1.8424356790622625,PSZ2 G095.75-11.16
FRB20190623B,335.22,46.12,1554.4,1413.0,1422.0,132.4000000000001,2.4320743480672276,PSZ2 G098.67-07.04
FRB20181220A,346.11,48.43,208.7,83.6,87.3,121.39999999999999,1.2637354332351107,PSZ2 G106.48-10.42
FRB20190106B,335.63,46.13,315.4,174.9,183.7,131.7,2.465909953314837,PSZ2 G098.67-07.04
FRB20190213D,336.45,52.71,1344.1,1112.3,1097.9,246.19999999999982,1.3671793353345496,PSZ2 G102.98-04.77
FRB20190423B,298.58,26.19,585.5,102.3,160.8,424.7,7.470122770495091,PSZ2 G065.35-08.01
FRB20190423B,298.58,26.19,585.5,102.3,160.8,424.7,7.470122770495091,PSZ2 G065.35-08.01
FRB20181119B,299.38,31.12,608.2,166.8,108.3,499.90000000000003,9.416325276258606,PSZ2 G065.35-08.01
FRB20190221B,286.77,27.86,394.7,227.6,240.0,154.7,2.321645755265393,PSZ2 G060.13+11.44
FRB20190627D,295.33,43.84,1999.2,1870.2,1861.3,137.9000000000001,3.6331630660190717,PSZ2 G075.71+13.51
FRB20190327A,281.31,34.28,347.8,257.8,270.1,77.69999999999999,1.4230836025110296,PSZ2 G064.98+16.71
FRB20190208A,283.52,46.96,579.1,508.4,514.6,64.5,1.7263773222868042,PSZ2 G075.08+19.83
