WISE,HIIName,GLON,GLAT,Rad,Dist,RGal,Z,DV1,R_pc,group_multiplicity,driving_proxy,ambient_resistance_proxy,existing_bubble_strength,choke_B1,choke_B2
G295.015-01.861,G294.837-01.775,295.015,-1.86,1113,3.6,7.9,-116.0,22.0,19.425514574696887,1,484.0,0.04829263615643517,1,10022.231928531928,10022.231928531928
G293.613-01.291,G293.600-01.280; RCW60,293.613,-1.29,606,3.4,7.8,-76.0,15.0,9.989101085580879,1,225.0,0.06487855798905022,1,3468.0178933381044,3468.0178933381044
G293.024-01.029,G293.027-01.031,293.024,-1.029,162,13.7,13.0,-246.0,16.0,10.759954838545042,1,256.0,0.00472784532408409,1,54147.2874960422,54147.2874960422
G294.793-01.330,G295.060-01.650; RCW62,294.793,-1.33,1650,3.6,7.7,-82.0,24.0,28.797932657906443,1,576.0,0.06414130962712655,1,8980.172112924849,8980.172112924849
G295.728-00.215,G295.760-00.200,295.728,-0.214,759,9.3,9.5,-34.0,35.0,34.221543308478815,1,1225.0,0.052815404393043976,1,23193.99073201715,23193.99073201715
G291.947-00.910,G291.910-00.980,291.947,-0.91,920,8.2,9.3,-129.0,22.0,36.574344102903396,1,484.0,0.02968412591182169,1,16305.01101624984,16305.01101624984
G291.863-00.682,G291.858-00.675,291.863,-0.682,155,9.1,9.9,-108.0,25.0,6.838296972050005,1,625.0,0.028765704178564812,1,21727.26230236797,21727.26230236797
G291.030-00.785,G291.059-00.770,291.03,-0.784,266,8.2,9.4,-111.0,23.0,10.574756012361199,1,529.0,0.03252603980409399,1,16263.892044226539,16263.892044226539
G291.281-00.726,G291.284-00.713,291.281,-0.725,446,3.1,7.9,-39.0,35.0,6.7030339550204445,1,1225.0,0.08068982005979523,1,15181.592908401743,15181.592908401743
G291.614-00.525,G291.614-00.525,291.614,-0.525,1125,7.7,9.1,-70.0,49.0,41.99698512611355,1,2401.0,0.046576150222383414,1,51549.98832097839,51549.98832097839
G291.467-00.143,G291.466-00.128,291.467,-0.142,304,7.2,8.9,-17.0,23.0,10.611601852125522,1,529.0,0.0702151993667541,1,7533.981314172184,7533.981314172184
G291.214-00.246,G291.205-00.267,291.214,-0.245,245,7.4,9.0,-31.0,27.0,8.789672038515887,1,729.0,0.062156788575837923,1,11728.405162222018,11728.405162222018
G290.714+00.244,G290.646+00.256,290.714,0.244,588,3.0,8.0,12.0,23.0,8.552113334772216,1,529.0,0.09388221768631179,1,5634.719897303078,5634.719897303078
G289.880-00.801,G289.878-00.792,289.88,-0.8,115,8.4,9.7,-117.0,27.0,4.683300159518118,1,729.0,0.0286836337516376,1,25415.189941141263,25415.189941141263
