ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,MWLc,e_MWLc,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness,ambient_smoothing_proxy,choke_L1,choke_L2,feed_times_tightness
65723,RMJ090807.7+153616.2,137.0319674,15.6044941,0.4206,24.06,57,16.833,2.162,0.487,63.936070138272655,3.826151691844419e-06,24.06,2.162,3.826151691844419e-06,13595310.429243475,565058.6213318153,52.01772
11090,RMJ090653.1+154008.2,136.7213456,15.6689491,0.3165,32.62,70,23.834,3.141,0.427,66.99944182678823,3.3249601621436526e-06,32.62,3.141,3.3249601621436526e-06,30815232.364751957,944672.9725552408,102.45942
5794,RMJ090736.0+155059.0,136.9000003,15.8497326,0.4513,57.59,80,32.573,5.233,0.683,61.290156880841955,4.3433797380488295e-06,57.59,5.233,4.3433797380488295e-06,69385706.1034648,1204822.1236927381,301.36847
29390,RMJ090708.6+155127.9,136.7859783,15.8577579,0.538,51.06,49,21.542,3.564,1.106,111.54665714858758,7.20493920514391e-07,51.06,3.564,7.20493920514391e-07,252573734.2378661,4946606.624321701,181.97784000000001
17455,RMJ084523.7+133251.8,131.3486324,13.5477288,0.3473,25.25,56,16.513,2.497,0.381,66.31155453108298,3.4295123617372166e-06,25.25,2.497,3.4295123617372166e-06,18384319.21209418,728091.8499839279,63.04925
41112,RMJ084552.3+133846.9,131.4677125,13.6463525,0.3674,25.74,71,19.146,2.532,0.425,62.61972232291578,4.0725515246319345e-06,25.74,2.532,4.0725515246319345e-06,16003156.646591524,621723.2574433383,65.17367999999999
1771,RMJ084742.3+132930.4,131.9261612,13.49179,0.3502,63.88,127,40.374,5.844,0.583,63.99236075441899,3.816063595348656e-06,63.88,5.844,3.816063595348656e-06,97827174.69777702,1531421.01906351,373.31472
29351,RMJ085806.1+143014.5,134.525393,14.5040199,0.514,45.08,62,32.713,3.602,0.968,105.55043568136732,8.503934552501997e-07,45.08,3.602,8.503934552501997e-07,190944743.2803039,4235686.408170007,162.37815999999998
19055,RMJ085647.0+144319.8,134.19591,14.7221606,0.4283,27.71,61,18.985,2.535,0.564,87.32802856627539,1.501547349950285e-06,27.71,2.535,1.501547349950285e-06,46781641.61944393,1688258.4489153351,70.24485
15053,RMJ085117.0+141455.1,132.8208969,14.2486342,0.4867,54.57,61,29.019,4.895,0.822,105.70572900307556,8.46650994664189e-07,54.57,4.895,8.46650994664189e-07,315502080.17643565,5781603.081847822,267.12014999999997
29795,RMJ085230.7+142946.4,133.1278361,14.4962199,0.3772,23.18,60,17.266,2.278,0.408,82.6968812742862,1.7682049650466302e-06,23.18,2.278,1.7682049650466302e-06,29863076.421464227,1288312.1838422876,52.80404
46215,RMJ085332.0+150141.5,133.3833639,15.0282081,0.413,24.55,53,22.232,2.254,0.491,79.22518900615877,2.010991098099596e-06,24.55,2.254,2.010991098099596e-06,27516631.004628874,1120840.3667873268,55.3357
21801,RMJ085407.7+151523.0,133.5319112,15.256386,0.4535,36.36,58,23.357,3.14,0.692,91.33615016256873,1.312417140762397e-06,36.36,3.14,1.312417140762397e-06,86992463.33652516,2392531.9949539374,114.1704
3814,RMJ085358.8+153258.5,133.4951892,15.5495697,0.3296,48.5,113,34.279,4.544,0.468,58.37787363924493,5.026378436041787e-06,48.5,4.544,5.026378436041787e-06,43845484.93597903,904030.6172366809,220.384
43280,RMJ084538.3+134910.5,131.4095815,13.8195709,0.5303,47.57,63,25.069,3.366,0.993,138.5018975762271,3.7638545238365184e-07,47.57,3.366,3.7638545238365184e-07,425416601.4811543,8942959.879780415,160.12062
38428,RMJ084450.1+135446.7,131.2089456,13.9129628,0.5194,38.31,45,19.384,3.189,0.886,122.49840009669806,5.440123389832879e-07,38.31,3.189,5.440123389832879e-07,224573196.68213093,5861999.391337274,122.17059
31869,RMJ084546.2+142532.6,131.4424641,14.4257157,0.3504,23.22,61,19.264,2.283,0.409,65.19667379637524,3.6084748406128153e-06,23.22,2.283,3.6084748406128153e-06,14690766.138471195,632677.2669453573,53.01125999999999
20845,RMJ084615.2+145927.6,131.5633855,14.9910074,0.3685,23.7,55,18.026,2.335,0.389,57.966084000591245,5.1342630360437944e-06,23.7,2.335,5.1342630360437944e-06,10778469.979333557,454787.76284107834,55.3395
17101,RMJ084147.7+143239.1,130.4487678,14.5441899,0.2313,25.71,52,15.256,2.547,0.398,107.9160575224118,7.956861289324198e-07,25.71,2.547,7.956861289324198e-07,82297991.15369739,3201010.9355774946,65.48337000000001
2516,RMJ084448.0+151002.7,131.2001682,15.1674263,0.5803,126.53,84,54.233,9.723,1.964,175.65655919119413,1.8450446721333432e-07,126.53,9.723,1.8450446721333432e-07,6667866684.103184,52697911.04167537,1230.2511900000002
5827,RMJ084211.1+152652.6,130.5462895,15.4479471,0.3308,41.07,75,31.756,3.885,0.456,76.95398160118894,2.194354120771181e-06,41.07,3.885,2.194354120771181e-06,72712489.05984487,1770452.6189394903,159.55695
4939,RMJ084804.9+144752.1,132.0204565,14.7978177,0.3821,46.82,95,36.699,4.388,0.48,73.36708288105481,2.5321897423302263e-06,46.82,4.388,2.5321897423302263e-06,81133793.63544056,1732887.5189115882,205.44616
40882,RMJ084703.3+145255.1,131.7638988,14.881981,0.3527,20.06,44,15.963,1.894,0.399,62.61972232291578,4.0725515246319345e-06,20.06,1.894,4.0725515246319345e-06,9329198.113321293,465064.71153147024,37.99364
14838,RMJ085204.7+154328.9,133.0197243,15.7246847,0.41,38.31,67,30.53,3.623,0.48,78.15564255226043,2.094686270246199e-06,38.31,3.623,2.094686270246199e-06,66261536.14101194,1729614.6212741304,138.79713
8479,RMJ085156.1+155333.5,132.9836949,15.8926489,0.5058,79.93,74,41.725,6.856,1.087,85.44120614609946,1.6032375956148731e-06,79.93,6.856,1.6032375956148731e-06,341808401.63608515,4276346.823921996,548.00008
12939,RMJ084730.6+160259.6,131.8776601,16.0498853,0.3958,33.64,63,28.528,3.226,0.451,79.63331914365105,1.9802295959542262e-06,33.64,3.226,1.9802295959542262e-06,54803059.31277907,1629104.0223774991,108.52264
8103,RMJ084803.3+162222.7,132.0138384,16.3729792,0.5495,79.33,62,43.833,6.569,1.373,114.95993976889247,6.582038484528554e-07,79.33,6.569,6.582038484528554e-07,791728537.0252979,9980190.81085715,521.11877
11443,RMJ090013.2+144351.2,135.0550701,14.7308897,0.1037,20.89,33,13.825,1.945,0.398,70.4128594481552,2.8644685359336765e-06,20.89,1.945,2.8644685359336765e-06,14184498.621750882,679009.0292843888,40.63105
62745,RMJ090033.9+145716.8,135.1414341,14.9546602,0.3737,21.45,64,18.491,2.059,0.428,70.25623044345105,2.883669388362442e-06,21.45,2.059,2.883669388362442e-06,15315746.728192177,714020.8264891458,44.16555
7685,RMJ090431.2+154553.4,136.1300867,15.7648398,0.3367,37.49,68,25.586,3.578,0.427,54.28045674374856,6.252727755472819e-06,37.49,3.578,6.252727755472819e-06,21452912.272182662,572230.2553262913,134.13922
48264,RMJ090347.4+154023.1,135.9475466,15.6730799,0.3864,21.9,49,12.447,2.075,0.428,71.76569979781328,2.705510524992007e-06,21.9,2.075,2.705510524992007e-06,16796275.446067337,766953.2167154036,45.4425
13120,RMJ085801.8+155317.0,134.5073378,15.8880561,0.3473,28.58,71,22.426,2.678,0.521,63.087105315634346,3.982705536744822e-06,28.58,2.678,3.982705536744822e-06,19217398.6486975,672407.2305352519,76.53724
2564,RMJ085506.6+153601.3,133.7776989,15.6003706,0.3253,72.07,158,47.683,6.59,0.588,55.069609419776704,5.9877548500397114e-06,72.07,6.59,5.9877548500397114e-06,79318761.68859018,1100579.4600886665,474.94129999999996
5171,RMJ090000.5+161531.5,135.0021449,16.2587438,0.3439,41.74,84,35.876,3.961,0.429,55.4853222775518,5.8541744680148425e-06,41.74,3.961,5.8541744680148425e-06,28241751.40377467,676611.1979821435,165.33214
14370,RMJ090038.7+161642.5,135.1612964,16.2784627,0.3647,29.05,62,25.111,2.838,0.4,66.24414026344144,3.439993292958064e-06,29.05,2.838,3.439993292958064e-06,23966296.727603838,825001.6085233679,82.4439
